"Id;""Designator"";""Footprint"";""Quantity"";""Designation"";""Supplier and ref"";",,,,,
"1;""Q3"";""SOT-23"";1;""IRLML5203"";;;",,,,,
"2;""Q5",Q4,Q6,"Q2"";""SOT-23"";4;""BC817"";;;",,
"3;""C1","C6"";""CP_Radial_D10.0mm_P5.00mm"";2;""470uF"";;;",,,,
"4;""PROG1","PH1"";""PinSocket_1x06_P2.54mm_Vertical"";2;""Conn_01x06_Socket"";;;",,,,
"5;""R17",R21,"R18"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";3;""10K"";;;",,,
"6;""J3"";""TestPoint_Pad_D1.5mm"";1;""IN+"";;;",,,,,
"7;""L1"";""L_Radial_D12.0mm_P6.00mm_Murata_1900R"";1;""33uH"";;;",,,,,
"8;""D1",D8,"D6"";""LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"";3;""GREEN_LED"";;;",,,
"9;""C4"";""CP_Radial_D8.0mm_P3.80mm"";1;""220uF"";;;",,,,,
"10;""C9"";""CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder"";1;""220uF"";;;",,,,,
"11;""H1","H2"";""MountingHole_3.2mm_M3_Pad_Via"";2;""MountingHole_Pad"";;;",,,,
"12;""U2"";""SOP127P600X175-9N"";1;""TP4056"";;;",,,,,
"13;""R2",R7,R1,"R4"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";4;""1K"";;;",,
"14;""SW1"";""SW_SPST_B3U-1000P"";1;""SW_MEC_5G"";;;",,,,,
"15;""IC1"";""SOT95P280X135-6N"";1;""DW01"";;;",,,,,
"16;""C10",C8,C5,C2,C3,"C7"";""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"";6;""0.1uF"";;;"
"17;""U1"";""TO-263-5_TabPin3"";1;""LM2596S-ADJ"";;;",,,,,
"18;""R5"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""3.9k"";;;",,,,,
"19;""R11","R12"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";2;""2.2 K"";;;",,,,
"20;""TDS1"";""PinSocket_1x03_P2.54mm_Vertical"";1;""Conn_01x03_Socket"";;;",,,,,
"21;""S0LAR1","18VMAINS1"";""TerminalBlock_Phoenix_MKDS-1","5-2-5.08_1x02_P5.08mm_Horizontal"";2;""Screw_Terminal_01x02"";;;",,,
"22;""D2",D9,"D7"";""LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"";3;""RED_LED"";;;",,,
"23;""J2"";""TestPoint_Pad_D1.5mm"";1;""IN-"";;;",,,,,
"24;""R6"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""100"";;;",,,,,
"25;""D3","D5"";""D_SMB_Handsoldering"";2;""1N5820"";;;",,,,
"26;""R16"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""100k"";;;",,,,,
"27;""ULTRASONIC1"";""PinSocket_1x04_P2.54mm_Vertical"";1;""Conn_01x04_Pin"";;;",,,,,
"28;""TP5",TP4,"TP3"";""TestPoint_Pad_D2.5mm"";3;""TestPoint"";;;",,,
"29;""TP1"";""TestPoint_Pad_4.0x4.0mm"";1;""BatteryPositive"";;;",,,,,
"30;""R9","R8"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";2;""10 K"";;;",,,,
"31;""U3"";""SOT-223-3_TabPin2"";1;""LM1117MP-3.3"";;;",,,,,
"32;""R15"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""10k"";;;",,,,,
"33;""U4"";""ESP32-WROOM-32"";1;""ESP32-WROOM-32"";;;",,,,,
"34;""U5"";""SIM800L-CORE"";1;""SIM800L-CORE"";;;",,,,,
"35;""TP2"";""TestPoint_Pad_4.0x4.0mm"";1;""BatteryNegative"";;;",,,,,
"36;""D4"";""D_SMB_Handsoldering"";1;""1N5819"";;;",,,,,
"37;""R20",R19,R10,"R13"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";4;""1k"";;;",,
"38;""J5"";""TestPoint_Pad_D1.5mm"";1;""OUT +"";;;",,,,,
"39;""R14"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""100K"";;;",,,,,
"40;""R3"";""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"";1;""1.2K"";;;",,,,,
"41;""J6"";""TestPoint_Pad_D1.5mm"";1;""OUT -"";;;",,,,,
"42;""Q1"";""SOP65P640X120-8N"";1;""FS8205A"";;;",,,,,
